stop,lap,duration,milliseconds,year,circuitRef,driverRef,stint 1,stint 2,stint 3,stint 4 ,stint 5,stint 6
1,1,26.898,26898,2011,albert_park,alguersuari,Soft,Soft,Hard,Hard,,
1,1,25.021,25021,2011,albert_park,michael_schumacher,Soft,Soft,Hard,,,
1,11,23.426,23426,2011,albert_park,webber,Soft,Hard,Soft,Soft,,
1,12,23.251,23251,2011,albert_park,alonso,Soft,Soft,Soft,Hard,,
1,13,23.842,23842,2011,albert_park,massa,Soft,Soft,Hard,Soft,,
1,13,23.643,23643,2011,albert_park,barrichello,Soft,Soft,Soft,Hard,,
1,14,22.603,22603,2011,albert_park,vettel,Soft,Soft,Hard,,,
1,14,24.863,24863,2011,albert_park,resta,Soft,Hard,Soft,,,
1,14,25.259,25259,2011,albert_park,ambrosio,Soft,Hard,Hard,,,
1,15,25.342,25342,2011,albert_park,buemi,Soft,Soft,Hard,,,
1,15,22.994,22994,2011,albert_park,heidfeld,Soft,Soft,Hard,,,
1,16,23.227,23227,2011,albert_park,hamilton,Soft,Soft,Hard,,,
1,16,24.535,24535,2011,albert_park,petrov,Soft,Soft,Hard,,,
1,16,23.716,23716,2011,albert_park,rosberg,Soft,Hard,,,,
1,16,24.064,24064,2011,albert_park,kobayashi,Soft,Soft,Hard,,,
1,16,25.978,25978,2011,albert_park,sutil,Soft,Hard,Hard,,,
1,16,24.899,24899,2011,albert_park,trulli,Hard,Soft,Soft,,,
1,17,16.867,16867,2011,albert_park,button,Soft,Soft,Hard,,,
2,17,24.463,24463,2011,albert_park,alguersuari,Soft,Soft,Hard,Hard,,
1,17,24.865,24865,2011,albert_park,kovalainen,Soft,Soft,,,,
2,17,23.988,23988,2011,albert_park,michael_schumacher,Soft,Soft,Hard,,,
1,18,23.792,23792,2011,albert_park,glock,Soft,Soft,Hard,,,
2,19,23.303,23303,2011,albert_park,button,Soft,Soft,Hard,,,
1,23,23.438,23438,2011,albert_park,perez,Hard,Soft,,,,
2,23,37.856,37856,2011,albert_park,barrichello,Soft,Soft,Soft,Hard,,
2,26,22.520,22520,2011,albert_park,webber,Soft,Hard,Soft,Soft,,
2,27,24.733,24733,2011,albert_park,alonso,Soft,Soft,Soft,Hard,,
3,28,16.892,16892,2011,albert_park,barrichello,Soft,Soft,Soft,Hard,,
2,29,23.100,23100,2011,albert_park,buemi,Soft,Soft,Hard,,,
2,30,25.098,25098,2011,albert_park,heidfeld,Soft,Soft,Hard,,,
2,31,24.500,24500,2011,albert_park,massa,Soft,Soft,Hard,Soft,,
2,32,24.192,24192,2011,albert_park,kobayashi,Soft,Soft,Hard,,,
2,36,24.036,24036,2011,albert_park,vettel,Soft,Soft,Hard,,,
2,36,23.199,23199,2011,albert_park,hamilton,Soft,Soft,Hard,,,
3,35,26.348,26348,2011,albert_park,alguersuari,Soft,Soft,Hard,Hard,,
2,36,25.683,25683,2011,albert_park,petrov,Soft,Soft,Hard,,,
2,36,24.332,24332,2011,albert_park,resta,Soft,Hard,Soft,,,
3,37,22.681,22681,2011,albert_park,button,Soft,Soft,Hard,,,
2,37,23.871,23871,2011,albert_park,sutil,Soft,Hard,Hard,,,
2,37,24.848,24848,2011,albert_park,trulli,Hard,Soft,Soft,,,
2,38,26.446,26446,2011,albert_park,ambrosio,Soft,Hard,Hard,,,
3,41,26.230,26230,2011,albert_park,webber,Soft,Hard,Soft,Soft,,
4,40,26.309,26309,2011,albert_park,barrichello,Soft,Soft,Soft,Hard,,
3,42,24.181,24181,2011,albert_park,alonso,Soft,Soft,Soft,Hard,,
3,48,24.095,24095,2011,albert_park,massa,Soft,Soft,Hard,Soft,,
1,3,31.694,31694,2011,sepang,sutil,Soft,Soft,Hard,Soft,,
1,3,32.978,32978,2011,sepang,barrichello,Soft,Soft,Hard,,,
1,10,22.572,22572,2011,sepang,webber,Soft,Soft,Soft,Hard,Hard,
1,11,22.773,22773,2011,sepang,resta,Soft,Soft,Soft,Hard,,
1,12,22.552,22552,2011,sepang,hamilton,Soft,Soft,Hard,Hard,Hard,
1,13,23.019,23019,2011,sepang,vettel,Soft,Soft,Soft,Hard,,
1,13,23.900,23900,2011,sepang,heidfeld,Soft,Soft,Soft,Hard,,
1,13,22.400,22400,2011,sepang,button,Soft,Soft,Soft,Hard,,
1,13,29.224,29224,2011,sepang,massa,Soft,Soft,Soft,Hard,,
1,13,25.516,25516,2011,sepang,trulli,Soft,Soft,,,,
1,14,23.152,23152,2011,sepang,alonso,Soft,Soft,Soft,Hard,Hard,
1,14,22.576,22576,2011,sepang,michael_schumacher,Soft,Soft,Soft,Hard,,
1,15,23.182,23182,2011,sepang,petrov,Soft,Soft,Hard,Hard,,
1,15,23.280,23280,2011,sepang,buemi,Soft,Soft,Hard,,,
1,15,24.967,24967,2011,sepang,rosberg,Soft,Soft,Soft,Hard,,
1,15,29.084,29084,2011,sepang,kovalainen,Soft,Soft,Hard,,,
1,16,23.584,23584,2011,sepang,alguersuari,Soft,Soft,Hard,,,
2,16,22.046,22046,2011,sepang,sutil,Soft,Soft,Hard,Soft,,
1,17,23.280,23280,2011,sepang,kobayashi,Soft,Soft,Hard,,,
1,17,23.597,23597,2011,sepang,perez,Soft,Soft,,,,
1,17,24.617,24617,2011,sepang,glock,Soft,Soft,Hard,,,
1,17,26.252,26252,2011,sepang,ambrosio,Soft,Soft,Hard,,,
1,17,27.815,27815,2011,sepang,liuzzi,Soft,Soft,Hard,Soft,,
2,17,24.502,24502,2011,sepang,barrichello,Soft,Soft,Hard,,,
2,20,29.843,29843,2011,sepang,buemi,Soft,Soft,Hard,,,
2,22,21.991,21991,2011,sepang,webber,Soft,Soft,Soft,Hard,Hard,
2,23,22.471,22471,2011,sepang,button,Soft,Soft,Soft,Hard,,
2,24,22.611,22611,2011,sepang,hamilton,Soft,Soft,Hard,Hard,Hard,
2,24,22.419,22419,2011,sepang,resta,Soft,Soft,Soft,Hard,,
2,25,21.893,21893,2011,sepang,vettel,Soft,Soft,Soft,Hard,,
2,26,23.894,23894,2011,sepang,alonso,Soft,Soft,Soft,Hard,Hard,
2,26,23.221,23221,2011,sepang,heidfeld,Soft,Soft,Soft,Hard,,
2,27,22.541,22541,2011,sepang,massa,Soft,Soft,Soft,Hard,,
2,27,22.680,22680,2011,sepang,petrov,Soft,Soft,Hard,Hard,,
2,28,22.261,22261,2011,sepang,michael_schumacher,Soft,Soft,Soft,Hard,,
2,29,22.577,22577,2011,sepang,rosberg,Soft,Soft,Soft,Hard,,
3,32,22.069,22069,2011,sepang,webber,Soft,Soft,Soft,Hard,Hard,
2,32,22.888,22888,2011,sepang,alguersuari,Soft,Soft,Hard,,,
3,32,22.550,22550,2011,sepang,sutil,Soft,Soft,Hard,Soft,,
3,32,27.439,27439,2011,sepang,buemi,Soft,Soft,Hard,,,
2,34,23.336,23336,2011,sepang,kovalainen,Soft,Soft,Hard,,,
2,34,24.429,24429,2011,sepang,glock,Soft,Soft,Hard,,,
2,35,24.416,24416,2011,sepang,ambrosio,Soft,Soft,Hard,,,
2,36,23.442,23442,2011,sepang,kobayashi,Soft,Soft,Hard,,,
3,37,25.382,25382,2011,sepang,hamilton,Soft,Soft,Hard,Hard,Hard,
3,37,23.977,23977,2011,sepang,resta,Soft,Soft,Soft,Hard,,
3,38,22.483,22483,2011,sepang,button,Soft,Soft,Soft,Hard,,
3,38,22.893,22893,2011,sepang,massa,Soft,Soft,Soft,Hard,,
3,39,22.602,22602,2011,sepang,heidfeld,Soft,Soft,Soft,Hard,,
