circuitRef,Seconds,Calculated,time_per_lap
BAK,20.9975,22.98099922,
albert_park,23.257,26.14689079,
americas,24.479,20.63316706,
bahrain,24.6805,23.47565531,
buddh,23.546,21.85316733,
catalunya,21.934,22.32049962,0.29
hockenheimring,19.385,18.0854994,
hungaroring,22.0295,21.35266724,
interlagos,23.2935,23.31333294,
istanbul,21.8325,17.06759724,
marina_bay,30.019,31.93533326,
monaco,25.6755,21.69233585,
monza,24.352,25.08824855,
nurburgring,20.5645,19.78174966,
red_bull_ring,21.893,21.3958339,
rodriguez,22.903,22.96758253,
sepang,24.604,23.77229481,
shanghai,22.517,23.38445885,
silverstone,28.362,18.92116659,
sochi,30.3185,25.97466643,
spa,23.129,19.20469413,
suzuka,23.462,21.68906312,
valencia,21.1655,22.46206312,
villeneuve,23.479,18.00633313,
yas_marina,21.956,22.49399972,
yeongam,22.12,20.85675016,
